,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
68,24,8,6/6/22 0:00,350,X03,,6/6/22 22:11,6/6/22 22:24,,,13.466666666666667,
69,24,8,6/6/22 0:00,120,X10,,6/6/22 22:11,6/6/22 22:24,,,13.35,
70,25,8,6/6/22 0:00,235,X02,,6/6/22 22:36,6/6/22 22:43,,,7.1,
71,25,8,6/6/22 0:00,350,X03,,6/6/22 22:36,6/6/22 22:45,,,8.9,
72,25,8,6/6/22 0:00,120,X10,,6/6/22 22:36,6/6/22 22:45,,,8.883333333333333,
73,26,9,6/7/22 0:00,120,X09,,6/7/22 20:27,6/7/22 20:39,,,12.3,
74,26,9,6/7/22 0:00,5,X10,,6/7/22 20:25,6/7/22 20:41,,,15.05,
75,27,9,6/7/22 0:00,120,X09,,6/7/22 22:18,6/7/22 22:26,,,8.866666666666667,
76,27,9,6/7/22 0:00,5,X10,,6/7/22 22:14,6/7/22 22:29,,,15.366666666666667,
77,28,9,6/7/22 0:00,120,X10,,6/8/22 1:35,6/8/22 1:42,,,7.066666666666666,
78,29,10,6/9/22 0:00,235,X04,,6/9/22 19:39,6/9/22 19:56,,,16.366666666666667,
79,29,10,6/9/22 0:00,350,X02,,6/9/22 19:39,6/9/22 19:54,,,15.4,
80,29,10,6/9/22 0:00,120,X10,,6/9/22 19:39,6/9/22 19:54,,,15,
81,30,10,6/9/22 0:00,235,X04,,6/9/22 20:31,6/9/22 20:38,,,6.233333333333333,
82,30,10,6/9/22 0:00,350,X02,,6/9/22 20:31,6/9/22 20:36,,,5.066666666666666,
83,30,10,6/9/22 0:00,120,X10,,6/9/22 20:31,6/9/22 20:36,,,4.966666666666667,
84,31,11,6/11/22 0:00,350,X02,,6/11/22 19:53,6/11/22 20:02,,,9.016666666666667,
85,31,11,6/11/22 0:00,120,X10,,6/11/22 19:53,6/11/22 20:02,,,9.133333333333333,
86,32,11,6/11/22 0:00,350,X02,,6/11/22 21:47,6/11/22 21:59,,,12.45,
87,32,11,6/11/22 0:00,120,X10,,6/11/22 21:47,6/11/22 22:00,,,13.15,
88,33,12,6/12/22 0:00,350,X02,,6/12/22 19:32,6/12/22 19:47,,,14.45,
89,33,12,6/12/22 0:00,120,X10,,6/12/22 19:32,6/12/22 19:45,,,13.15,
90,34,12,6/12/22 0:00,235,X04,,6/12/22 20:02,6/12/22 20:15,,,13.15,
91,34,12,6/12/22 0:00,350,X02,,6/12/22 20:02,6/12/22 20:13,,,11.25,
92,34,12,6/12/22 0:00,120,X10,,6/12/22 20:02,6/12/22 20:14,,,12.75,
93,35,12,6/12/22 0:00,235,X04,,6/12/22 22:57,6/12/22 23:08,,,11.616666666666667,
94,35,12,6/12/22 0:00,350,X02,,6/12/22 23:01,6/12/22 23:09,,,7.383333333333334,
95,35,12,6/12/22 0:00,120,X10,,6/12/22 22:54,6/12/22 23:08,,,13.5,
97,36,12,6/12/22 0:00,350,X02,,6/13/22 0:24,6/13/22 0:37,,,12.4,
98,36,12,6/12/22 0:00,120,X10,,6/13/22 0:25,6/13/22 0:38,,,13.65,
99,37,12,6/12/22 0:00,235,X03,,6/13/22 1:00,6/13/22 1:11,,,11.15,
100,37,12,6/12/22 0:00,350,X02,,6/13/22 1:00,6/13/22 1:09,,,8.766666666666667,
101,37,12,6/12/22 0:00,120,X10,,6/13/22 1:00,6/13/22 1:11,,,10.8,
102,38,13,6/17/22 0:00,350,X02,,6/17/22 20:17,6/17/22 20:29,,,12.35,
103,38,13,6/17/22 0:00,120,X10,,6/17/22 20:16,6/17/22 20:29,,,13,
104,39,13,6/17/22 0:00,235,X01,,6/17/22 21:10,6/17/22 21:21,,,10.45,
105,39,13,6/17/22 0:00,350,X02,,6/17/22 21:11,6/17/22 21:21,,,10.383333333333333,
106,39,13,6/17/22 0:00,120,X10,,6/17/22 21:10,6/17/22 21:20,,,9.566666666666666,
107,40,13,6/17/22 0:00,235,X01,,6/17/22 23:54,6/18/22 0:07,,,13,
108,40,13,6/17/22 0:00,350,X02,,6/17/22 23:54,6/18/22 0:06,,,11.883333333333333,
109,40,13,6/17/22 0:00,120,X10,,6/17/22 23:54,6/18/22 0:08,,,14.366666666666667,
110,41,13,6/17/22 0:00,235,X01,,6/18/22 0:22,6/18/22 0:35,,,13.083333333333334,
111,41,13,6/17/22 0:00,350,X02,,6/18/22 0:22,6/18/22 0:35,,,12.766666666666667,
112,41,13,6/17/22 0:00,120,X10,,6/18/22 0:22,6/18/22 0:35,,,12.65,
113,42,13,6/17/22 0:00,235,X01,,6/18/22 1:03,6/18/22 1:18,,,14.65,
114,42,13,6/17/22 0:00,350,X02,,6/18/22 1:02,6/18/22 1:12,,,9.45,
115,42,13,6/17/22 0:00,120,X10,,6/18/22 1:02,6/18/22 1:17,,,14.383333333333333,
116,43,13,6/17/22 0:00,235,X01,,6/18/22 1:34,6/18/22 1:46,,,12.033333333333333,
117,43,13,6/17/22 0:00,350,X02,,6/18/22 1:34,6/18/22 1:45,,,11.583333333333334,
118,43,13,6/17/22 0:00,120,X10,,6/18/22 1:34,6/18/22 1:46,,,11.8,
119,44,14,6/18/22 0:00,350,X02,,6/18/22 19:33,6/18/22 19:42,,,9.05,
120,44,14,6/18/22 0:00,120,X10,,6/18/22 19:33,6/18/22 19:43,,,10.15,
