,flight_id,iop_date_local,iop,drone_name,flight_number_of_day,nominal_altitude,takeoff_time_local,landing_time_local,takeoff_time_utc,landing_time_utc,sensor_aspirated,sensor_unaspirated
40,15,2022-06-03,6,Ac,3,235,2022-06-03 15:20:00,2022-06-03 15:31:00,2022-06-03 21:20:00,2022-06-03 21:31:00,X02,
41,15,2022-06-03,6,Cb,3,350,2022-06-03 15:20:00,2022-06-03 15:32:00,2022-06-03 21:20:00,2022-06-03 21:32:00,X04,
42,15,2022-06-03,6,St,3,120,2022-06-03 15:20:00,2022-06-03 15:32:00,2022-06-03 21:20:00,2022-06-03 21:32:00,X10,
43,16,2022-06-04,7,Ac,1,235,2022-06-04 12:29:00,2022-06-04 12:48:00,2022-06-04 18:29:00,2022-06-04 18:48:00,X02,
44,16,2022-06-04,7,Cb,1,350,2022-06-04 12:26:00,2022-06-04 12:48:00,2022-06-04 18:26:00,2022-06-04 18:48:00,X03,
45,16,2022-06-04,7,St,1,120,2022-06-04 12:26:00,2022-06-04 12:48:00,2022-06-04 18:26:00,2022-06-04 18:48:00,X10,
46,17,2022-06-04,7,Ac,2,235,2022-06-04 13:32:00,2022-06-04 13:51:00,2022-06-04 19:32:00,2022-06-04 19:51:00,X02,
47,17,2022-06-04,7,Cb,2,350,2022-06-04 13:32:00,2022-06-04 13:51:00,2022-06-04 19:32:00,2022-06-04 19:51:00,X03,
48,17,2022-06-04,7,St,2,120,2022-06-04 13:32:00,2022-06-04 13:51:00,2022-06-04 19:32:00,2022-06-04 19:51:00,X10,
49,18,2022-06-04,7,Ac,3,235,2022-06-04 14:01:00,2022-06-04 14:17:00,2022-06-04 20:01:00,2022-06-04 20:17:00,X02,
50,18,2022-06-04,7,Cb,3,350,2022-06-04 14:01:00,2022-06-04 14:17:00,2022-06-04 20:01:00,2022-06-04 20:17:00,X03,
51,18,2022-06-04,7,St,3,120,2022-06-04 14:01:00,2022-06-04 14:18:00,2022-06-04 20:01:00,2022-06-04 20:18:00,X10,
52,19,2022-06-04,7,Ac,4,235,2022-06-04 15:05:00,2022-06-04 15:27:00,2022-06-04 21:05:00,2022-06-04 21:27:00,X02,
53,19,2022-06-04,7,Cb,4,350,2022-06-04 15:05:00,2022-06-04 15:27:00,2022-06-04 21:05:00,2022-06-04 21:27:00,X03,
54,19,2022-06-04,7,St,4,120,2022-06-04 15:05:00,2022-06-04 15:27:00,2022-06-04 21:05:00,2022-06-04 21:27:00,X10,
55,20,2022-06-04,7,Ac,5,235,2022-06-04 15:44:00,2022-06-04 15:54:00,2022-06-04 21:44:00,2022-06-04 21:54:00,X02,
56,20,2022-06-04,7,Cb,5,350,2022-06-04 15:44:00,2022-06-04 15:59:00,2022-06-04 21:44:00,2022-06-04 21:59:00,X03,
57,20,2022-06-04,7,St,5,120,2022-06-04 15:44:00,2022-06-04 15:54:00,2022-06-04 21:44:00,2022-06-04 21:54:00,X10,
58,21,2022-06-06,8,Ac,1,235,2022-06-06 13:49:00,2022-06-06 14:08:00,2022-06-06 19:49:00,2022-06-06 20:08:00,X02,
59,21,2022-06-06,8,cumulonimbus,1,350,2022-06-06 13:49:00,2022-06-06 14:08:00,2022-06-06 19:49:00,2022-06-06 20:08:00,X03,
60,21,2022-06-06,8,St,1,120,2022-06-06 13:50:00,2022-06-06 14:06:00,2022-06-06 19:50:00,2022-06-06 20:06:00,X10,
61,22,2022-06-06,8,Ac,2,235,2022-06-06 14:11:00,2022-06-06 14:31:00,2022-06-06 20:11:00,2022-06-06 20:31:00,X02,
62,22,2022-06-06,8,cumulonimbus,2,350,2022-06-06 14:11:00,2022-06-06 14:32:00,2022-06-06 20:11:00,2022-06-06 20:32:00,X03,
63,22,2022-06-06,8,St,2,120,2022-06-06 14:11:00,2022-06-06 14:31:00,2022-06-06 20:11:00,2022-06-06 20:31:00,X10,
64,23,2022-06-06,8,Ac,3,235,2022-06-06 15:43:00,2022-06-06 16:03:00,2022-06-06 21:43:00,2022-06-06 22:03:00,X02,
65,23,2022-06-06,8,cumulonimbus,3,350,2022-06-06 15:43:00,2022-06-06 16:03:00,2022-06-06 21:43:00,2022-06-06 22:03:00,X03,
66,23,2022-06-06,8,St,3,120,2022-06-06 15:44:00,2022-06-06 16:01:00,2022-06-06 21:44:00,2022-06-06 22:01:00,X10,
67,24,2022-06-06,8,Ac,4,235,2022-06-06 16:09:00,2022-06-06 16:30:00,2022-06-06 22:09:00,2022-06-06 22:30:00,X02,
68,24,2022-06-06,8,cumulonimbus,4,350,2022-06-06 16:09:00,2022-06-06 16:30:00,2022-06-06 22:09:00,2022-06-06 22:30:00,X03,
69,24,2022-06-06,8,St,4,120,2022-06-06 16:10:00,2022-06-06 16:28:00,2022-06-06 22:10:00,2022-06-06 22:28:00,X10,
70,25,2022-06-06,8,Ac,5,235,2022-06-06 16:34:00,2022-06-06 16:51:00,2022-06-06 22:34:00,2022-06-06 22:51:00,X02,
71,25,2022-06-06,8,cumulonimbus,5,350,2022-06-06 16:35:00,2022-06-06 16:52:00,2022-06-06 22:35:00,2022-06-06 22:52:00,X03,
72,25,2022-06-06,8,St,5,120,2022-06-06 16:35:00,2022-06-06 16:50:00,2022-06-06 22:35:00,2022-06-06 22:50:00,X10,
73,26,2022-06-07,9,cumulonimbus,1,120,2022-06-07 14:26:00,2022-06-07 14:41:00,2022-06-07 20:26:00,2022-06-07 20:41:00,X09,
74,26,2022-06-07,9,St,1,5,2022-06-07 14:26:00,2022-06-07 14:41:00,2022-06-07 20:26:00,2022-06-07 20:41:00,X10,
75,27,2022-06-07,9,cumulonimbus,2,120,2022-06-07 16:18:00,2022-06-07 16:34:00,2022-06-07 22:18:00,2022-06-07 22:34:00,X09,
76,27,2022-06-07,9,St,2,5,2022-06-07 16:14:00,2022-06-07 16:30:00,2022-06-07 22:14:00,2022-06-07 22:30:00,X10,
77,28,2022-06-07,9,St,3,120,2022-06-07 19:31:00,2022-06-07 19:44:00,2022-06-08 01:31:00,2022-06-08 01:44:00,X10,
78,29,2022-06-09,10,Ac,2,235,2022-06-09 13:38:00,2022-06-09 13:59:00,2022-06-09 19:38:00,2022-06-09 19:59:00,X04,
79,29,2022-06-09,10,cumulonimbus,2,350,2022-06-09 13:38:00,2022-06-09 13:58:00,2022-06-09 19:38:00,2022-06-09 19:58:00,X02,
80,29,2022-06-09,10,St,2,120,2022-06-09 13:38:00,2022-06-09 13:59:00,2022-06-09 19:38:00,2022-06-09 19:59:00,X10,
81,30,2022-06-09,10,Ac,3,235,2022-06-09 14:30:00,2022-06-09 14:40:00,2022-06-09 20:30:00,2022-06-09 20:40:00,X04,
82,30,2022-06-09,10,cumulonimbus,3,350,2022-06-09 14:29:00,2022-06-09 14:37:00,2022-06-09 20:29:00,2022-06-09 20:37:00,X02,
83,30,2022-06-09,10,St,3,120,2022-06-09 14:30:00,2022-06-09 14:39:00,2022-06-09 20:30:00,2022-06-09 20:39:00,X10,
84,31,2022-06-11,11,Cb,1,350,2022-06-11 13:52:00,2022-06-11 14:12:00,2022-06-11 19:52:00,2022-06-11 20:12:00,X02,
85,31,2022-06-11,11,St,1,120,2022-06-11 13:52:00,2022-06-11 14:12:00,2022-06-11 19:52:00,2022-06-11 20:12:00,X10,
86,32,2022-06-11,11,Cb,2,350,2022-06-11 15:43:00,2022-06-11 16:04:00,2022-06-11 21:43:00,2022-06-11 22:04:00,X02,
87,32,2022-06-11,11,St,2,120,2022-06-11 15:43:00,2022-06-11 16:04:00,2022-06-11 21:43:00,2022-06-11 22:04:00,X10,
88,33,2022-06-12,12,Cb,1,350,2022-06-12 13:30:00,2022-06-12 13:49:00,2022-06-12 19:30:00,2022-06-12 19:49:00,X02,
89,33,2022-06-12,12,St,1,120,2022-06-12 13:30:00,2022-06-12 13:49:00,2022-06-12 19:30:00,2022-06-12 19:49:00,X10,
90,34,2022-06-12,12,Ac,2,235,2022-06-12 14:00:00,2022-06-12 14:18:00,2022-06-12 20:00:00,2022-06-12 20:18:00,X04,
91,34,2022-06-12,12,Cb,2,350,2022-06-12 14:00:00,2022-06-12 14:18:00,2022-06-12 20:00:00,2022-06-12 20:18:00,X02,
92,34,2022-06-12,12,St,2,120,2022-06-12 14:00:00,2022-06-12 14:18:00,2022-06-12 20:00:00,2022-06-12 20:18:00,X10,
